Presbytery,Church,Phone,Website,Email,Pastor,Review Date,Elders on Website? (Y/N),Deacons on Website? (Y/N),Other Staff on Website? (Y/N),Shepherdesses? (Y/N),Deaconesses? (Y/N),Website Status
Blue Ridge,Hope Presbyterian Church,276-638-2050,www.martinsvillehopepca.org,pastor@martinsvillehopepca.org,Rev. Matthew Pinckard,09-25-25,Y,N,N,N,,Functional
Blue Ridge,Hope Presbyterian Church of Crozet,434-829-2181,www.hopecrozet.org,office@hopecrozet.org,Rev. Todd Johnson,09-25-25,Y,N,Y,Y,,Functional
Blue Ridge,Mercy Presbyterian Church,434-237-1370,www.mercypres.org,office@mercypres.org,Rev. Bryan Rigg,09-25-25,Y,Y,Y,N,N,Functional
Blue Ridge,Providence Presbyterian Church,540-250-2925,www.providencechristiansburg.org,office@providencechristiansburg.org,Rev. Brian Waters,09-25-25,Y,Y,N,N,N,Functional
Blue Ridge,Providence Presbyterian Church,540-204-1191,www.provroanoke.org/,jake@provroanoke.org,Rev. Jake Hooker,09-25-25,Y,Y,N,N,N,Functional
Blue Ridge,Tabernacle Presbyterian Church,540-932-1778,www.tab-pres.org,office@tab-pres.org,Rev. Essen G. Daley,09-23-25,Y,Y,Y,N,N,Functional
Blue Ridge,Trinity Presbyterian Church,434-977-3700,www.trinitycville.org,trinity@trinitycville.org,Rev. Christopher Paul Colquitt,09-23-25,Y,Y,Y,Y,N,Functional
Blue Ridge,Westminster Presbyterian Church,540-562-0924,www.westpca.org,westminster@westpca.org,Rev. Kyle James Ferguson,09-25-25,Y,Y,Y,N,N,Functional
Calvary,Antioch Presbyterian Church,864-670-9000,www.antiochpca.com,info@antiochpca.com,Rev. Zachary Groff,09-25-25,Y,Y,Y,N,N,Functional
Calvary,Blue Ridge Presbyterian Church,864-616-8537,blueridgepres.com/,blueridgepca@gmail.com,Rev. Thomas Griffith,09-25-25,N,N,N,,,Functional
Calvary,Center Point Presbyterian Church,864-576-7617,-,cppc1090@att.net,Rev. Raymond A. Hellings Sr.,N/A,,,,,,No Website
Calvary,Christ Community Church,864-967-2815,www.christcommunitychurchonline.org,admin@christcommunitychurchonline.org,Rev. Paul Lambert Sanders,09-25-25,Y,Y,Y,N,N,Functional
Calvary,Clemson Presbyterian Church,864-654-4772,www.clemsonpres.org,contactus@clemsonpres.org,Rev. Bryan Jordan Counts,09-25-25,Y,Y,Y,N,N,Functional
Calvary,Covenant Presbyterian Church,864-859-0967,www.mycovenantpc.com,info@mycovenantpc.com,Rev. David Preston,09-25-25,Y,Y,Y,N,N,Functional
Calvary,Crossgate Church,864-886-8005,www.crossgatepca.org,info@crossgatepca.org,Rev. David Story,09-25-25,N,N,N,,,Functional
Calvary,Downtown Presbyterian Church,864-608-5529,www.downtownpres.org,updates@downtownpres.org,Rev. Brian C. Habig,09-25-25,Y,Y,Y,N,Y,Functional
Calvary,Durres Reformed Presbyterian Church,-,kishareformuardurres.org/,bertikona@gmail.com,Rev. Albert Kona,09-25-25,N,N,N,,,Functional
Calvary,Eastside Presbyterian Church,864-678-5100,www.eastsidepres.com,info@eastsidepres.com,Rev. Mark Auffarth,09-25-25,Y,Y,Y,N,N,Functional
Calvary,Emmanuel Upstate Presbyterian Church,864-381-8062,emmanuelupstate.org,info@emmanuelupstate.org,Rev. William Castro,09-25-25,N,N,N,,,Functional
Calvary,Fairview Presbyterian Church,864-862-2403,www.fairviewpca.com,pastor@fairviewpca.com,Rev. Kenny Maple,09-25-25,Y,Y,N,N,N,Functional
Calvary,Fellowship Presbyterian Church,864-877-3267,www.fellowshippres.org,office@fellowshippres.org,Rev. Marty Huskey Martin,09-25-25,Y,Y,N,N,N,Functional
Calvary,Friendship Presbyterian Church,864-575-2257,www.friendshippca.org,fpc@prtcnet.com,Rev. Robert D. Cathcart Jr.,09-25-25,Y,Y,N,N,N,Functional
Calvary,Fulton Presbyterian Church,864-879-3190,www.fultonpca.org,fultonchurch@bellsouth.net,Rev. Grover B. Timms Jr.,09-25-25,Y,Y,N,N,N,Functional
Calvary,Good Shepherd Presbyterian Church,-,www.goodshepgvl.com,emily@goodshepgvl.com,Rev. Chandler Machemehl,09-25-25,N,N,Y,,,Functional
Calvary,Grace & Peace Presbyterian Church,864-283-6603,graceandpeacepres.com,office@graceandpeacepres.com,Rev. Timothy Joseph Udouj,09-25-25,N,N,Y,,Y,Functional
Calvary,Grace Presbyterian Church,864-381-7075,www.gracespartanburg.com,admin@gracespartanburg.com,Rev. Justin Kendrick,09-25-25,Y,Y,Y,N,N,Functional
Calvary,Greenwood Presbyterian Church,864-942-0950,greenwoodpres.com,mail@gpc-pca.org,Rev. Paul Garibay Patrick,09-25-25,Y,Y,Y,N,N,Functional
Calvary,Horizon Church,864-286-9911,www.HorizonChurch.org,office@horizonchurch.org,Rev. Joseph A. Franks IV,09-25-25,Y,Y,Y,N,N,Functional
Calvary,Lebanon Presbyterian Church,864-446-2247,lebanonpca-abbeville.com,lebanonpresby@gmail.com,Rev. John Owen Butler,09-25-25,N,N,N,,,Functional
Calvary,Liberty Springs Presbyterian Church Mission,864-256-1310,-,libertyspringspca@gmail.com,Rev. Andrew Perrie,N/A,,,,,,No Website
Calvary,Living Hope,864-934-4080,www.livinghopeanderson.com,livinghopeanderson@gmail.com,-,09-25-25,Y,Y,N,N,N,Functional
Calvary,Mitchell Road Presbyterian Church,864-268-2218,www.mitchellroad.org,info@mitchellroad.org,Rev. Andy Lewis,09-25-25,Y,Y,Y,N,N,Functional
Calvary,Mount Calvary Presbyterian Church,864-576-6156,www.mtcalvary.org,ruthie@mtcalvary.org,Rev. Richard M. Thomas,09-25-25,N,N,Y,,,Functional
Calvary,Mountville Presbyterian Church,-,-,-,-,N/A,,,,,,No Website
Calvary,New Covenant Church,864-224-8724,www.ncchurch.net,office@ncchurch.net,Dr. T. David Rountree,09-25-25,N,N,N,,,Functional
Calvary,New Harmony Presbyterian Church,864-862-3748,-,bstoddardoakgrove@att.net,-,09-25-25,N,N,N,,,Functional
Calvary,New Hope Presbyterian Church,864-366-5684,newhopeabbeville.org,newhopeabbevilleoffice@gmail.com,-,09-25-25,Y,N,N,N,,Functional
Calvary,Norris Hill Presbyterian Church,864-296-2522,-,nhpca@bellsouth.net,-,N/A,,,,,,No Website
Calvary,Oconee Presbyterian Church,864-882-8444,oconeepres.org,office@oconeepres.org,Rev. Scott Charles Cook,09-25-25,N,N,N,,,Functional
Calvary,Palmetto Hills Presbyterian Church,864-963-9600,www.palmettohills.com,office@palmettohills.com,Rev. Joshua A. Martin,09-25-25,Y,Y,Y,N,N,Functional
Calvary,Powell Presbyterian Church,864-587-1486,powellpresbyterianchurch.org,powellpresbyterian@gmail.com,Rev. Bruce Tjelta,09-25-25,Y,Y,N,N,N,Functional
Calvary,Providence Presbyterian Church,864-579-1665,www.providencepresbyterianchurch.com,providencespartanburg@gmail.com,Rev. Daniel C. Coleman,09-25-25,Y,N,N,N,,Functional
Calvary,Redeemer Presbyterian Church,864-610-9400,www.redeemerpres.church,admin@redeemerpres.church,Rev. Nick Turner,09-25-25,Y,Y,Y,N,N,Functional
Calvary,Reidville Presbyterian Church,864-524-8020,reidvillepca.org,office@reidvillepca.org,Rev. Duncan Hoopes,09-25-25,Y,Y,N,N,N,Functional
Calvary,Resurrection Presbyterian Church,864-720-4078,www.resurrectiongvl.com/,jonathan@resurrectiongvl.com,Rev. Jonathan Patrick Davis,09-25-25,Y,Y,Y,N,N,Functional
Calvary,Rock Bridge Presbyterian Church,864-682-3925,-,velmafaulkner@yahoo.com,-,N/A,,,,,,No Website
Calvary,Roebuck Presbyterian Church,864-576-5717,roebuckpca.com,church@roebuckpca.com,-,09-25-25,Y,Y,N,N,N,Functional
Calvary,Second Presbyterian Church,864-232-7621,www.spcgreenville.org,info@spcgreenville.org,Rev. Richard D. Phillips,09-25-25,Y,Y,Y,N,N,Functional
Calvary,Smyrna Presbyterian Church,803-276-3943,www.smyrnanewberry.com,dan@smyrnanewberry.com,Rev. Jim Daniel Wilkerson,09-25-25,N,N,N,,,Functional
Calvary,Westminster Presbyterian Church,864-833-1275,wmpres.com,info@wmpres.com,Rev. James L. Braden,09-25-25,Y,Y,Y,N,N,Functional
Calvary,Woodruff Road Presbyterian Church,864-297-5257,www.woodruffroad.com,office@woodruffroad.com,Rev. Carl Robbins,09-25-25,Y,Y,Y,N,N,Functional
Canada West,Amazing Grace Community Church,-,www.agccl.org,office.agccl.pca@gmail.com,Rev. Rohan Crown,09-28-25,N,N,N,,,Functional
Canada West,Crestwood Presbyterian Church,780-452-3020,www.crestwoodpca.ca,office@crestwoodpca.ca,Rev. Jeffrey Kerr,09-25-25,Y,Y,Y,N,N,Functional
Canada West,Faith Reformed Presbyterian Church,604-438-8755,www.faithvan.com,faithvanpca@gmail.com,Rev. Mark Jones,09-25-25,Y,Y,N,N,N,Functional
Canada West,Free Grace Presbyterian Church,902-322-8599,www.freegracevernon.com,freegracevernon@gmail.com,Rev. Ian W. Crooks,09-25-25,Y,Y,Y,N,N,Functional
Canada West,Grace Vancouver,604-738-3537,www.gracevancouver.com,mail@gracevancouver.com,Rev. Dr. Michael N. Hsu,N/A,,,,,,Broken
Canada West,King's Cross South Edmonton Mission,-,-,-,Rev. Chris Pignatiello,N/A,,,,,,No Website
Canada West,Lighthouse Presbyterian Church,250-818-9252,lighthousechurch.ca,info@lighthousechurch.ca,Rev. Scott McDowell,09-25-25,Y,Y,Y,N,Y,Functional
Canada West,New City Church Calgary,825-733-1852,www.newcitychurch.ca,office@newcitychurch.ca,Rev. Connan A.V. Kublik,09-25-25,Y,N,N,N,,Functional
Canada West,Westminster Chapel,403-329-1446,www.westminsterchapelpca.ca,admin@westminsterchapelpca.ca,Rev. N. Adam Harris,09-25-25,Y,Y,N,N,N,Functional
Canada West,Woodgreen Presbyterian Church,587-887-1792,www.woodgreenpca.org,office@woodgreenpca.org,Rev. Don Hulsey,09-25-25,Y,Y,N,N,N,Functional
Catawba Valley,Back Creek Presbyterian Church,704-278-2798,www.backcreekpca.com,office@backcreekpca.com,-,09-25-25,N,N,N,,,Functional
Catawba Valley,Christ Church at River's Edge,704-461-8614,churchinbelmont.com,ccarepca@gmail.com,Rev. William S. Troutman,09-25-25,Y,N,N,N,,Functional
Catawba Valley,First Presbyterian Church,704-263-4275,www.fpcstanley.org,info@fpcstanley.org,Rev. Jay Paul Krestar,09-25-25,N,N,Y,,,Functional
Catawba Valley,Goshen Presbyterian Church,704-601-5146,www.goshenpcabelmont.com,office@goshenpcabelmont.com,Rev. Steven Robert McCullough,09-25-25,N,N,N,,,Functional
Catawba Valley,Grace Church,704-455-9312,www.graceharrisburg.org,office@graceharrisburg.org,Rev. Eugene Oldham,09-25-25,Y,Y,Y,N,N,Functional
Catawba Valley,Grace Covenant Church,828-345-0345,www.gcpca.org,shinson@gcpca.org,Rev. Michael M. Gordon,09-25-25,Y,Y,Y,N,N,Functional
Catawba Valley,Harbor Church PCA,704-662-6540,www.harborchurch.org,harborchurchpca@gmail.com,Rev. Michael Colvard,09-25-25,Y,Y,Y,N,N,Functional
Catawba Valley,Harvest Presbyterian Church,704-732-9978,harvestpca.net,info@harvestpca.net,Rev. Scott Deneen,09-25-25,Y,Y,N,N,N,Functional
Catawba Valley,Lakeshore Church,704-483-3265,www.lakeshorepca.org,office@lakeshorepca.org,Rev. Berry Stubbs,09-25-25,Y,N,N,N,,Functional
Catawba Valley,Meadowview Reformed Presbyterian Church,336-249-2680,www.meadowviewpca.org,secretary@meadowviewpca.org,Rev. George Sayour,09-25-25,Y,Y,Y,N,N,Functional
Catawba Valley,New Hope Presbyterian Church,704-857-3211,www.new-hope-pca.com,office@new-hope-pca.com,Rev. James S. Byers,09-25-25,Y,Y,Y,N,N,Functional
Catawba Valley,NorthCross Church,704-237-4853,www.northcrosschurch.com,info@northcrosschurch.com,Dr. Gary Purdy,09-25-25,Y,Y,Y,Y,N,Functional
Catawba Valley,Prosperity Presbyterian Church,704-875-1182,www.prosperitychurch.org,email@prosperitychurch.org,Rev. Bruce Brown,N/A,,,,,,Broken
Catawba Valley,Providence Presbyterian Church,704-788-8899,www.ppcnet.net,admin@ppcnet.net,Rev. Mark Weathers,09-25-25,N,N,Y,,,Functional
Catawba Valley,Shearer Presbyterian Church,704-892-8866,shearerpca.org/,admin@shearerpca.com,Rev. Stephen O. Stout,09-25-25,Y,Y,Y,N,N,Functional
Catawba Valley,Southlake Presbyterian Church,704-929-2292,SLchurch.net,contact@slchurch.net,Rev. Robert Daniel King,09-25-25,Y,Y,N,N,N,Functional
Catawba Valley,StoneBridge Church Community,704-549-8272,www.stonebridge.org,info@stonebridge.org,Rev. Soon Pak,09-25-25,Y,Y,Y,N,Y,Functional
Central Carolina,Carolina Presbyterian Church,704-888-4435,www.carolinapca.org,office@carolinapca.org,Rev. Jackson Alexander Roylston,09-26-25,Y,Y,Y,N,N,Functional
Central Carolina,Christ Central Church,704-608-9146,www.christcentralchurch.com,office@christcentralchurch.com,Rev. Anthony Myles,09-22-25,Y,Y,Y,Y,N,Functional
Central Carolina,Christ Church Sanford,770-530-2714,www.christchurchsanfordpca.com,rwjtarheel@gmail.com,Rev. Ralph Johnston,09-26-25,Y,Y,Y,N,N,Functional
Central Carolina,Christ Covenant Church,704-847-3505,www.christcovenant.org,info@christcovenant.org,Dr. Kevin DeYoung,09-26-25,Y,Y,Y,N,N,Functional
Central Carolina,Christ Hills Church,980-328-2435,christhills.org,trentthomaspca@gmail.com,-,09-26-25,Y,N,N,N,,Functional
Central Carolina,Christ Our King Church,616-450-4834,myersparkinitiative.org,gregsalazaris@gmail.com,Rev. Greg Salazar,09-26-25,Y,N,N,N,,Functional
Central Carolina,Church of the Redeemer,704-225-0161,www.redeemerweb.com,info@redeemerweb.com,Rev. Adam Troy Mumpower,09-26-25,Y,Y,Y,N,N,Functional
Central Carolina,Cross Covenant Chinese Church,704-666-3120,www.crossccc.org,contact@crossccc.org,Rev. Allen Chen,09-26-25,Y,N,Y,N,,Functional
Central Carolina,Cross Creek Presbyterian Church,910-864-4031,www.crosscreekpca.org,ccpadmin@crosscreekpca.org,Rev. Walt Alan Coppersmith,09-26-25,Y,Y,N,N,N,Functional
Central Carolina,Cross Park Church,980-285-7020,www.crossparkchurch.org,crossparkchurch@crossparkchurch.org,-,09-26-25,Y,Y,Y,N,N,Functional
Central Carolina,East Charlotte Presbyterian Church,704-502-3030,www.eastcharlottepres.org,admin@eastcharlottepres.org,Rev. Tyler Dirks,09-26-25,Y,Y,Y,N,N,Functional
Central Carolina,First Presbyterian Church,910-652-5231,ellerbechurch.org,fpcellerbe1803@gmail.com,-,09-26-25,Y,Y,N,N,N,Functional
Central Carolina,Grace Presbyterian Church,-,www.gracecarolina.org,dvinson@gracecarolina.org,Rev. Daniel Paul Vinson,09-26-25,N,N,N,,,Functional
Central Carolina,Hope Community Church,704-521-1033,www.hopecommunity.com,info@hopecommunity.com,Rev. Mark E. Upton,09-23-25,Y,Y,Y,Y,Y,Functional
Central Carolina,Lake Tillery Church,910-639-0324,www.laketillerychurch.com,ctmcaulay@gmail.com,Rev. Charles Thomas McAulay,09-26-25,Y,Y,Y,N,N,Functional
Central Carolina,Lumberton Mission Church,910-316-0378,lumbertonmissionchurch.org,pastor@lumbertonmissionchurch.org,Rev. Andrew Martin,09-26-25,N,N,N,,,Functional
Central Carolina,Mount Carmel Presbyterian Church,-,-,jbwatson45@gmail.com,Rev. James B. Watson,N/A,,,,,,No Website
Central Carolina,Norman Presbyterian Church,910-637-0415,-,jwbowling42@yahoo.com,Dr. Jack W. Bowling,N/A,,,,,,No Website
Central Carolina,Redeemer Church,910-725-0819,www.redeemerchurchpca.org,info@redeemerchurchpca.org,Rev. Wendell F. Collins III,09-26-25,Y,Y,Y,N,N,Functional
Central Carolina,Second Street Presbyterian Church,704-982-6824,www.secondstpres.org,secondstpres@gmail.com,Rev. John Chandler Black,09-26-25,N,N,N,,,Functional
Central Carolina,South Charlotte Presbyterian Church,704-312-5163,www.southcltpres.org,contactus@southcltpres.org,Dr. Dean Faulkner,09-26-25,Y,Y,Y,N,N,Functional
Central Carolina,Sovereign Grace Presbyterian Church,704-553-9600,www.sovereigngrace.org,info@sovereigngrace.org,Dr. William B. Barcley,09-26-25,Y,N,Y,N,,Functional
Central Carolina,"Uptown Church, PCA",704-375-7355,www.uptownchurch.org,uptownchurch@uptownchurch.org,Rev. Jordan Farrell Olshefski,09-26-25,Y,Y,Y,N,N,Functional
Central Carolina,Vive Charlotte Church,281-622-9409,www.vivecharlotte.com,info@vivecharlotte.com,Rev. José Portillo,09-26-25,Y,N,Y,Y,N,Functional
Central Carolina,West Charlotte Church at Freedom,704-394-8525,westcharlottechurch.com,admin@westcharlottechurch.com,Rev. David Andrew Yoran,09-26-25,Y,Y,Y,Y,N,Functional
Central Florida,Christ Community Church,321-269-2478,www.ccctitusville.org,admin.cccoffice@gmail.com,-,09-24-25,Y,Y,Y,N,N,Functional
Central Florida,Christ the King Presbyterian Church,772-978-5848,www.ctkvb.org,info@ctkvb.org,Rev. Seth Wallace,09-24-25,Y,Y,Y,N,N,Functional
Central Florida,Christ United Fellowship Orlando,407-708-3515,christunitedfellowship.org,info@cuforlando.org,Rev. Michael Aitcheson,09-24-25,Y,Y,Y,N,N,Functional
Central Florida,Coquina Presbyterian Church,386-677-2041,www.coquinachurchpca.org,info@coquinachurchpca.org,Rev. Cornelius J. Ganzel Jr.,09-24-25,Y,Y,Y,N,N,Functional
Central Florida,Covenant Church,321-727-2661,www.covenantpalmbay.org,info@covenantpalmbay.org,Rev. Jerry Klemm,09-24-25,N,N,Y,,,Functional
Central Florida,Covenant Life Community Church,407-529-8452,clccpca.org,hello@clccpca.org,Rev. Moses Han,09-24-25,N,N,N,,,Functional
Central Florida,Covenant Presbyterian Church,407-542-0813,cpcoviedo.com,admin@cpcoviedo.com,Rev. Randy R. Greenwald,09-24-25,Y,Y,Y,N,N,Functional
Central Florida,Faith Church Brooksville,352 796 4969,faithchurchbrooksville.com/,pastoralonso@FaithChurchBrooksville.com,-,09-24-25,Y,Y,Y,N,N,Functional
Central Florida,Good Shepherd Presbyterian Church,352-291-9199,www.gspcocala.com,gspcofficeocala@gmail.com,Rev. Michael Rauls,09-24-25,Y,Y,Y,N,N,Functional
Central Florida,Grace Presbyterian Church,352-629-1537,www.gpcocala.org,admin@gpcocala.org,Rev. Theo van Blerk,09-24-25,Y,Y,Y,N,N,Functional
Central Florida,Hope Fellowship PCA,941-224-4629,hopefellowshippca.snappages.site,office@hopefellowshipocala.com,Rev. Josh Gilman,09-24-25,N,N,N,,,Functional
Central Florida,Immanuel Presbyterian Church,386-738-1811,www.immanuelpca.com,office@immanuelpca.com,Rev. Deren Harper,09-24-25,N,N,N,,,Functional
Central Florida,Kissimmee Fellowship,330-417-0307,kissimmeefellowship.org,hola@kissimmeefellowship.org,Rev. Heath Zuniga,09-24-25,N,N,Y,,,Functional
Central Florida,La Vina,321-310-0983,lavinaorlando.org,pablo@lavinaorlando.org,-,09-24-25,N,N,N,,,Functional
Central Florida,Lake Baldwin Church,407-802-7100,www.lakebaldwinchurch.com,hello@lakebaldwinchurch.com,-,09-24-25,Y,Y,Y,N,Y,Functional
Central Florida,Lake Nona Presbyterian Church,407-573-2208,www.lnpca.church,info@lnpca.church,Rev. Angel Gabriel Roman Diaz,09-24-25,Y,Y,N,N,N,Functional
Central Florida,Lakeside Covenant Church,352-483-3833,lakesidecovenant.com,office@lakesidecovenant.com,Rev. Matthew Matulia,09-24-25,N,N,N,,,Functional
Central Florida,New City Church,321-727 2661,newcitypalmbay.org,-,-,N/A,,,,,,Broken
Central Florida,New Hope Presbyterian Church,352-483-3833,www.newhopepca.com,office@newhopepca.com,Rev. Richard L. Burguet,09-24-25,Y,Y,Y,N,N,Functional
Central Florida,New Life PCA,352-241-8101,yournewlife.church,newlifechurchpca@gmail.com,Rev. John R. Bopp,09-24-25,Y,Y,N,N,N,Functional
Central Florida,NewCity Orlando,-,www.newcityorlando.com,newcity@newcityorlando.com,Rev. Benjamin Kandt,09-24-25,Y,Y,Y,N,Y,Functional
Central Florida,Northside Presbyterian Church,321-255-0701,www.northsidepca.org,office@northsidepca.org,Rev. Coleman Woody,09-24-25,Y,Y,N,N,N,Functional
